id,question,answer,category,cluster,relevance_score,intent
1,स्टार्टअप म्हणजे काय?,स्टार्टअप म्हणजे एक नवीन व्यवसाय जो नाविन्यपूर्ण उत्पादन किंवा सेवा देऊन बाजारात येतो. हे सामान्यतः कमी गुंतवणुकीत सुरू होते आणि जलद वाढीसाठी डिझाइन केलेले असते.,definitions,startup_basics,1.0,definition
2,स्टार्टअप कसे सुरू करावे?,स्टार्टअप सुरू करण्यासाठी प्रथम एक चांगली कल्पना आवश्यक आहे. त्यानंतर बाजार संशोधन करा आणि व्यवसाय योजना तयार करा. नोंदणी पूर्ण करा आणि आवश्यक परवाने मिळवा.,startup_process,getting_started,1.0,how_to
3,व्यवसाय योजना कशी तयार करावी?,व्यवसाय योजना तयार करताना तुमची कल्पना स्पष्ट करा आणि लक्ष्य ग्राहक ओळखा. आर्थिक अंदाज तयार करा आणि मार्केटिंग रणनीती ठरवा. स्पर्धकांचे विश्लेषण करा.,business_planning,planning,1.0,planning
4,फंडिंग कसे मिळवावे?,फंडिंग मिळवण्यासाठी तुमची कल्पना स्पष्ट करा आणि मजबूत व्यवसाय योजना तयार करा. एंजेल इन्व्हेस्टर्स किंवा व्हेंचर कॅपिटलिस्ट्सशी संपर्क साधा. सरकारी योजनांचाही फायदा घ्या.,funding,investment,1.0,funding
5,एंजेल इन्व्हेस्टर म्हणजे काय?,एंजेल इन्व्हेस्टर म्हणजे असे व्यक्ती जे नवीन स्टार्टअप्समध्ये गुंतवणूक करतात. ते सामान्यतः अनुभवी उद्योजक असतात जे पैशाबरोबरच मार्गदर्शन देखील करतात.,funding,investment,1.0,definition
6,व्हेंचर कॅपिटल म्हणजे काय?,व्हेंचर कॅपिटल म्हणजे असे फंड जे उच्च वाढीची क्षमता असलेल्या स्टार्टअप्समध्ये गुंतवणूक करतात. ते मोठ्या प्रमाणात पैसा गुंतवतात आणि कंपनीत हिस्सा घेतात.,funding,investment,1.0,definition
7,MVP म्हणजे काय?,MVP म्हणजे Minimum Viable Product. हे तुमच्या उत्पादनाची सर्वात सोपी आवृत्ती आहे जी ग्राहकांना मूल्य देऊ शकते. यामुळे तुम्ही कमी खर्चात बाजार तपासू शकता.,product_development,mvp,1.0,definition
8,मार्केट रिसर्च कसे करावे?,मार्केट रिसर्च करण्यासाठी तुमच्या लक्ष्य ग्राहकांशी बोला. सर्वेक्षण करा आणि स्पर्धकांचे विश्लेषण करा. ऑनलाइन डेटा आणि इंडस्ट्री रिपोर्ट्सचा वापर करा.,market_research,research,1.0,how_to
9,स्टार्टअप रजिस्ट्रेशन कसे करावे?,स्टार्टअप रजिस्ट्रेशनसाठी प्रथम कंपनी नोंदणी करा. त्यानंतर स्टार्टअप इंडिया पोर्टलवर नोंदणी करा. आवश्यक कागदपत्रे तयार ठेवा आणि ऑनलाइन अर्ज भरा.,registration,legal,1.0,process
10,स्टार्टअप इंडिया योजना काय आहे?,स्टार्टअप इंडिया योजना भारत सरकारची एक पहल आहे जी नवीन उद्योजकांना प्रोत्साहन देते. यामध्ये कर सवलती आणि सरकारी सहाय्य मिळते.,government_schemes,startup_india,1.0,scheme
11,कर सवलती कशा मिळतात?,स्टार्टअप इंडियामध्ये नोंदणी केलेल्या कंपन्यांना 3 वर्षांसाठी इन्कम टॅक्समध्ये सूट मिळते. यासाठी DPIIT कडून मान्यता आवश्यक आहे.,tax_benefits,taxation,1.0,benefits
12,इन्क्यूबेटर म्हणजे काय?,इन्क्यूबेटर म्हणजे असे संस्था जे नवीन स्टार्टअप्सना मार्गदर्शन आणि संसाधने देतात. ते ऑफिस स्पेस आणि मेंटरशिप देखील देतात.,support_system,incubator,1.0,definition
13,एक्सेलेरेटर म्हणजे काय?,एक्सेलेरेटर म्हणजे असे प्रोग्राम जे स्टार्टअप्सच्या वाढीला गती देतात. ते सामान्यतः 3-6 महिन्यांचे असतात आणि फंडिंग देखील देतात.,support_system,accelerator,1.0,definition
14,पिच डेक कसे तयार करावे?,पिच डेक तयार करताना तुमची समस्या आणि समाधान स्पष्ट करा. बाजाराचा आकार दाखवा आणि व्यवसाय मॉडेल स्पष्ट करा. आर्थिक अंदाज आणि टीम दाखवा.,pitching,presentation,1.0,how_to
15,नेटवर्किंग कसे करावे?,नेटवर्किंग करण्यासाठी इंडस्ट्री इव्हेंट्समध्ये भाग घ्या. ऑनलाइन प्लॅटफॉर्मवर सक्रिय रहा आणि इतर उद्योजकांशी संपर्क साधा. मेंटर्स शोधा.,networking,connections,1.0,how_to
16,मेंटर कसे शोधावे?,मेंटर शोधण्यासाठी तुमच्या इंडस्ट्रीतील अनुभवी लोकांशी संपर्क साधा. नेटवर्किंग इव्हेंट्समध्ये भाग घ्या आणि ऑनलाइन प्लॅटफॉर्म वापरा.,mentorship,guidance,1.0,how_to
17,टीम कसे तयार करावी?,टीम तयार करताना विविध कौशल्ये असलेले लोक निवडा. सह-संस्थापक निवडताना सावधगिरी बाळगा आणि कंपनी कल्चर ठरवा.,team_building,hiring,1.0,how_to
18,कॉ-फाउंडर कसे निवडावे?,कॉ-फाउंडर निवडताना तुमच्या कौशल्यांना पूरक असलेले व्यक्ती शोधा. त्यांच्याशी चांगले संबंध असावेत आणि समान दृष्टिकोन असावा.,co_founder,partnership,1.0,selection
19,इक्विटी कसे वाटावी?,इक्विटी वाटताना प्रत्येकाचे योगदान विचारात घ्या. फंडर्स आणि टीम मेंबर्सना योग्य हिस्सा द्या. कायदेशीर सल्ला घ्या.,equity,ownership,1.0,distribution
20,वेस्टिंग क्या आहे?,वेस्टिंग म्हणजे कर्मचाऱ्यांना वेळेनुसार इक्विटी मिळणे. हे सामान्यतः 4 वर्षांत होते आणि 1 वर्षाचा क्लिफ असतो.,equity,vesting,1.0,definition
21,बिझनेस मॉडेल कसे तयार करावे?,बिझनेस मॉडेल तयार करताना तुम्ही कसे पैसे कमवाल ते ठरवा. ग्राहक सेगमेंट ओळखा आणि व्हॅल्यू प्रपोझिशन स्पष्ट करा.,business_model,strategy,1.0,how_to
22,रेव्हेन्यू मॉडेल म्हणजे काय?,रेव्हेन्यू मॉडेल म्हणजे तुम्ही कसे पैसे कमवाल याची योजना. हे सब्स्क्रिप्शन आधारित किंवा ट्रांझॅक्शन आधारित असू शकते.,revenue,monetization,1.0,definition
23,कस्टमर एक्विझिशन कसे करावे?,कस्टमर एक्विझिशनसाठी डिजिटल मार्केटिंग वापरा. सोशल मीडिया आणि कंटेंट मार्केटिंगचा फायदा घ्या. रेफरल प्रोग्राम सुरू करा.,customer_acquisition,marketing,1.0,strategy
24,डिजिटल मार्केटिंग कसे करावे?,डिजिटल मार्केटिंगसाठी सोशल मीडिया प्लॅटफॉर्म वापरा. SEO आणि कंटेंट मार्केटिंगवर लक्ष द्या. पेड अॅड्स देखील चालवा.,digital_marketing,promotion,1.0,how_to
25,ब्रँडिंग कसे करावे?,ब्रँडिंगसाठी तुमची अनन्य ओळख तयार करा. लोगो आणि कलर स्कीम ठरवा. सातत्यपूर्ण मेसेजिंग करा.,branding,identity,1.0,how_to
26,प्रोडक्ट डेव्हलपमेंट कसे करावे?,प्रोडक्ट डेव्हलपमेंटसाठी ग्राहकांच्या गरजा समजून घ्या. MVP तयार करा आणि फीडबॅक घ्या. सतत सुधारणा करत रहा.,product_development,development,1.0,process
27,यूजर फीडबॅक कसे घ्यावे?,यूजर फीडबॅक घेण्यासाठी सर्वेक्षण करा आणि इंटरव्यू घ्या. प्रोडक्ट अॅनालिटिक्स वापरा आणि सोशल मीडियावर प्रतिक्रिया पहा.,user_feedback,research,1.0,method
28,स्केलिंग कसे करावे?,स्केलिंगसाठी तुमचे ऑपरेशन्स ऑटोमेट करा. टीम वाढवा आणि नवीन मार्केट्समध्ये प्रवेश करा. टेक्नॉलॉजीचा फायदा घ्या.,scaling,growth,1.0,strategy
29,कॅश फ्लो कसे मॅनेज करावे?,कॅश फ्लो मॅनेज करण्यासाठी नियमित अकाउंटिंग करा. खर्च नियंत्रणात ठेवा आणि पेमेंट टर्म्स ठरवा. इमर्जेंसी फंड ठेवा.,cash_flow,finance,1.0,management
30,फायनान्शियल प्लॅनिंग कसे करावे?,फायनान्शियल प्लॅनिंगसाठी बजेट तयार करा आणि खर्चाचा मागोवा घ्या. रेव्हेन्यू प्रोजेक्शन करा आणि नियमित रिव्यू करा.,financial_planning,budgeting,1.0,planning
31,लीगल कॉम्प्लायन्स काय आहे?,लीगल कॉम्प्लायन्स म्हणजे सर्व कायदेशीर नियमांचे पालन करणे. यामध्ये टॅक्स फाइलिंग आणि लेबर लॉ यांचा समावेश आहे.,legal,compliance,1.0,definition
32,इंटेलेक्चुअल प्रॉपर्टी कसे संरक्षित करावे?,इंटेलेक्चुअल प्रॉपर्टी संरक्षित करण्यासाठी पेटंट आणि ट्रेडमार्क नोंदवा. कॉपीराइट घ्या आणि NDA वापरा.,intellectual_property,protection,1.0,protection
33,पार्टनरशिप कसे करावे?,पार्टनरशिप करताना योग्य पार्टनर निवडा आणि स्पष्ट करार करा. दोन्ही पक्षांचे फायदे ठरवा आणि नियमित कम्युनिकेशन करा.,partnership,collaboration,1.0,strategy
34,कॉम्पिटिशन कसे हाताळावे?,कॉम्पिटिशन हाताळण्यासाठी तुमचे यूनिक सेलिंग पॉइंट ओळखा. इनोव्हेशनवर लक्ष द्या आणि कस्टमर सर्व्हिस सुधारा.,competition,strategy,1.0,handling
35,फेलियर कसे हाताळावे?,फेलियर हाताळण्यासाठी त्यातून शिका आणि पुढे जा. टीमला मोटिव्हेट करा आणि नवीन रणनीती तयार करा.,failure,resilience,1.0,coping
36,एक्झिट स्ट्रॅटेजी काय आहे?,एक्झिट स्ट्रॅटेजी म्हणजे स्टार्टअप सोडण्याची योजना. हे IPO किंवा एक्विझिशनद्वारे होऊ शकते.,exit_strategy,planning,1.0,definition
37,IPO म्हणजे काय?,IPO म्हणजे Initial Public Offering. यामध्ये कंपनी पहिल्यांदा शेअर मार्केटमध्ये येते आणि पब्लिकला शेअर्स विकते.,ipo,public_offering,1.0,definition
38,एक्विझिशन म्हणजे काय?,एक्विझिशन म्हणजे मोठी कंपनी तुमची कंपनी विकत घेणे. यामध्ये तुम्हाला चांगली किंमत मिळू शकते.,acquisition,exit,1.0,definition
39,वर्क-लाइफ बॅलन्स कसे राखावे?,वर्क-लाइफ बॅलन्स राखण्यासाठी वेळेचे नियोजन करा. आरोग्याची काळजी घ्या आणि कुटुंबासाठी वेळ काढा.,work_life_balance,wellness,1.0,balance
40,स्ट्रेस कसे मॅनेज करावे?,स्ट्रेस मॅनेज करण्यासाठी योग आणि मेडिटेशन करा. नियमित व्यायाम करा आणि पुरेशी झोप घ्या.,stress_management,health,1.0,management
41,टेक्नॉलॉजी स्टार्टअप कसे सुरू करावे?,टेक्नॉलॉजी स्टार्टअप सुरू करण्यासाठी तांत्रिक कौशल्य आवश्यक आहे. चांगली टीम तयार करा आणि स्केलेबल प्रोडक्ट बनवा.,technology,tech_startup,1.0,sector
42,ई-कॉमर्स स्टार्टअप कसे सुरू करावे?,ई-कॉमर्स स्टार्टअप सुरू करण्यासाठी ऑनलाइन प्लॅटफॉर्म तयार करा. लॉजिस्टिक्स आणि पेमेंट गेटवे सेट करा.,ecommerce,online_business,1.0,sector
43,फूड स्टार्टअप कसे सुरू करावे?,फूड स्टार्टअप सुरू करण्यासाठी FSSAI लायसन्स घ्या. क्वालिटी कंट्रोल आणि हायजीन राखा. डिलिव्हरी सिस्टम तयार करा.,food,food_business,1.0,sector
44,हेल्थकेअर स्टार्टअप कसे सुरू करावे?,हेल्थकेअर स्टार्टअप सुरू करण्यासाठी मेडिकल एक्सपर्टाइज आवश्यक आहे. रेग्युलेटरी अप्रूव्हल घ्या आणि डेटा सिक्युरिटी राखा.,healthcare,medical,1.0,sector
45,एजटेक स्टार्टअप कसे सुरू करावे?,एजटेक स्टार्टअप सुरू करण्यासाठी शेतकऱ्यांच्या समस्या समजून घ्या. टेक्नॉलॉजी आणि कृषी यांचे मिश्रण करा.,agtech,agriculture,1.0,sector
46,फिनटेक स्टार्टअप कसे सुरू करावे?,फिनटेक स्टार्टअप सुरू करण्यासाठी RBI च्या नियमांचे पालन करा. सिक्युरिटी आणि कॉम्प्लायन्सवर लक्ष द्या.,fintech,finance,1.0,sector
47,एडटेक स्टार्टअप कसे सुरू करावे?,एडटेक स्टार्टअप सुरू करण्यासाठी शिक्षणाच्या समस्या ओळखा. इंटरॅक्टिव्ह लर्निंग प्लॅटफॉर्म तयार करा.,edtech,education,1.0,sector
48,सोशल इम्पॅक्ट स्टार्टअप कसे सुरू करावे?,सोशल इम्पॅक्ट स्टार्टअप सुरू करण्यासाठी सामाजिक समस्या ओळखा. सस्टेनेबल बिझनेस मॉडेल तयार करा.,social_impact,social_good,1.0,sector
49,रूरल स्टार्टअप कसे सुरू करावे?,रूरल स्टार्टअप सुरू करण्यासाठी स्थानिक समस्या समजून घ्या. कमी खर्चात समाधान देण्यावर लक्ष द्या.,rural,village_business,1.0,sector
50,महिला उद्योजकांसाठी काय सुविधा आहेत?,महिला उद्योजकांसाठी विशेष लोन स्कीम आहेत. सरकारी सबसिडी आणि इन्क्यूबेशन प्रोग्राम उपलब्ध आहेत.,women_entrepreneurs,support,1.0,support